Time;CH 1 Object Temperature;CH 1 Sink Temperature;CH 1 Target Object Temperature;CH 1 (Ramp) Nominal Temperature;CH 1 Thermal Power Model Current;CH 1 Actual Output Current;CH 1 Actual Output Voltage;CH 1 PID Control Variable;CH 2 Object Temperature;CH 2 Sink Temperature;CH 2 Target Object Temperature;CH 2 (Ramp) Nominal Temperature;CH 2 Thermal Power Model Current;CH 2 Actual Output Current;CH 2 Actual Output Voltage;CH 2 PID Control Variable;Driver Input Voltage;Device Temperature;Error Number;Error Instance;Error Parameter;CH1 FAN Speed;CH2 FAN Speed;
2018-02-09 18:02:25;19.00984;25;19;19;-2.026586;-2.039381;-2.884985;-54.88351;;;0;0;0;0;0;0;21.00792;44.28125;0;0;0;0;0;
2018-02-09 18:03:25;18.9861;25;19;19;-2.080259;-2.131355;-2.97136;-56.09193;;;0;0;0;0;0;0;21.00627;44.25;0;0;0;0;0;
2018-02-09 18:04:25;18.97893;25;19;19;-1.887648;-1.917211;-2.730099;-51.27816;;;0;0;0;0;0;0;21.00009;44.125;0;0;0;0;0;
2018-02-09 18:05:25;19.0045;25;19;19;-2.06091;-2.144222;-2.995237;-55.69347;;;0;0;0;0;0;0;21.00284;44.09375;0;0;0;0;0;
2018-02-09 18:06:25;19.07622;25;19;19;-2.812397;-2.754195;-3.723691;-70.36907;;;0;0;0;0;0;0;20.99432;43.90625;0;0;0;0;0;
2018-02-09 18:07:25;18.97591;25;19;19;-2.041817;-2.029325;-2.836993;-55.13881;;;0;0;0;0;0;0;21.00462;43.90625;0;0;0;0;0;
2018-02-09 18:08:25;18.92577;25;19;19;-1.762443;-1.75872;-2.487611;-47.73754;;;0;0;0;0;0;0;20.99391;43.84375;0;0;0;0;0;
2018-02-09 18:09:25;19.04015;25;19;19;-2.394617;-2.36242;-3.260026;-63.09444;;;0;0;0;0;0;0;21.0005;43.71875;0;0;0;0;0;
2018-02-09 18:10:25;19.02794;25;19;19;-2.49739;-2.414939;-3.315075;-65.01558;;;0;0;0;0;0;0;20.99886;43.75;0;0;0;0;0;
2018-02-09 18:11:25;18.96248;25;19;19;-1.939322;-1.941979;-2.726644;-52.55347;;;0;0;0;0;0;0;21.00311;43.6875;0;0;0;0;0;
2018-02-09 18:12:25;19.01393;25;19;19;-2.173879;-2.177844;-3.020195;-58.34591;;;0;0;0;0;0;0;21.01122;43.5;0;0;0;0;0;
2018-02-09 18:13:25;18.99702;25;19;19;-2.204913;-2.20055;-3.024189;-58.9812;;;0;0;0;0;0;0;21.00943;43.3125;0;0;0;0;0;
2018-02-09 18:14:25;18.9113;25;19;19;-1.640654;-1.631967;-2.34102;-44.23052;;;0;0;0;0;0;0;21.00201;43.4375;0;0;0;0;0;
2018-02-09 18:15:25;18.96202;25;19;19;-1.805926;-1.806337;-2.551949;-49.04909;;;0;0;0;0;0;0;20.99982;43.1875;0;0;0;0;0;
2018-02-09 18:16:25;19.03322;25;19;19;-2.674395;-2.672642;-3.591331;-68.1031;;;0;0;0;0;0;0;21.00902;43.125;0;0;0;0;0;
2018-02-09 18:17:25;19.0247;25;19;19;-2.081532;-2.134379;-2.961139;-56.25159;;;0;0;0;0;0;0;21.01067;43.0625;0;0;0;0;0;
2018-02-09 18:18:25;19.04204;25;19;19;-2.502178;-2.507106;-3.418427;-65.15108;;;0;0;0;0;0;0;21.00984;43.0625;0;0;0;0;0;
2018-02-09 18:19:25;19.00349;25;19;19;-2.207251;-2.253784;-3.138514;-59.05456;;;0;0;0;0;0;0;21.00641;42.90625;0;0;0;0;0;
2018-02-09 18:20:25;19.03603;25;19;19;-2.361577;-2.357826;-3.23454;-62.42179;;;0;0;0;0;0;0;21.0097;42.84375;0;0;0;0;0;
2018-02-09 18:21:25;18.92549;25;19;19;-1.869965;-1.870048;-2.612683;-50.63586;;;0;0;0;0;0;0;21.00751;42.9375;0;0;0;0;0;
2018-02-09 18:22:25;19.03493;25;19;19;-2.257981;-2.245856;-3.104625;-60.26387;;;0;0;0;0;0;0;21.0097;42.875;0;0;0;0;0;
2018-02-09 18:23:25;18.97905;25;19;19;-1.930929;-1.929436;-2.702655;-52.39523;;;0;0;0;0;0;0;21.01067;42.75;0;0;0;0;0;
2018-02-09 18:24:25;19.00081;25;19;19;-2.101179;-2.121117;-2.921301;-56.63357;;;0;0;0;0;0;0;21.01094;42.84375;0;0;0;0;0;
2018-02-09 18:25:25;18.98518;25;19;19;-1.984884;-2.009975;-2.78895;-53.7751;;;0;0;0;0;0;0;21.01012;42.65625;0;0;0;0;0;
2018-02-09 18:26:25;18.96172;25;19;19;-2.124637;-2.114981;-2.892968;-57.04792;;;0;0;0;0;0;0;21.00819;42.6875;0;0;0;0;0;
2018-02-09 18:27:25;19.06175;25;19;19;-2.297622;-2.291973;-3.163351;-61.19405;;;0;0;0;0;0;0;21.00929;42.53125;0;0;0;0;0;
2018-02-09 18:28:25;19.03773;25;19;19;-2.198986;-2.198692;-3.000406;-58.98659;;;0;0;0;0;0;0;21.013;42.4375;0;0;0;0;0;
2018-02-09 18:29:25;18.9572;25;19;19;-1.739833;-1.739875;-2.456135;-47.21499;;;0;0;0;0;0;0;20.99844;42.46875;0;0;0;0;0;
2018-02-09 18:30:25;19.03304;25;19;19;-1.941875;-1.985831;-2.800539;-52.85509;;;0;0;0;0;0;0;21.01122;42.375;0;0;0;0;0;
2018-02-09 18:31:25;19.04771;25;19;19;-2.523996;-2.524129;-3.414555;-65.56838;;;0;0;0;0;0;0;21.00778;42.15625;0;0;0;0;0;
2018-02-09 18:32:25;19.02306;25;19;19;-2.139915;-2.149455;-2.950438;-57.60535;;;0;0;0;0;0;0;21.00833;42.09375;0;0;0;0;0;
2018-02-09 18:33:25;19.02196;25;19;19;-1.954924;-1.989976;-2.777188;-53.14821;;;0;0;0;0;0;0;21.00435;42.09375;0;0;0;0;0;
2018-02-09 18:34:25;19.04729;25;19;19;-2.347028;-2.371356;-3.238719;-62.16513;;;0;0;0;0;0;0;21.01053;42.03125;0;0;0;0;0;
2018-02-09 18:35:25;18.97157;25;19;19;-1.845864;-1.844484;-2.578507;-50.1532;;;0;0;0;0;0;0;21.01273;41.90625;0;0;0;0;0;
2018-02-09 18:36:25;18.96446;25;19;19;-1.876022;-1.926518;-2.679709;-50.92567;;;0;0;0;0;0;0;21.00984;42.03125;0;0;0;0;0;
2018-02-09 18:37:25;18.98732;25;19;19;-1.971228;-1.973649;-2.736169;-53.44167;;;0;0;0;0;0;0;21.01108;42;0;0;0;0;0;
2018-02-09 18:38:25;19.03432;25;19;19;-2.514278;-2.51421;-3.403179;-65.34678;;;0;0;0;0;0;0;21.00421;42.125;0;0;0;0;0;
2018-02-09 18:39:25;19.05861;25;19;19;-2.54186;-2.535322;-3.44447;-65.92658;;;0;0;0;0;0;0;21.00723;42.25;0;0;0;0;0;
2018-02-09 18:40:25;18.99956;25;19;19;-1.729562;-1.716676;-2.411752;-47.0697;;;0;0;0;0;0;0;21.01012;41.9375;0;0;0;0;0;
2018-02-09 18:41:25;19.04893;25;19;19;-2.463319;-2.394171;-3.165808;-64.4502;;;0;0;0;0;0;0;21.01053;41.75;0;0;0;0;0;
2018-02-09 18:42:25;19.01225;25;19;19;-2.496081;-2.409159;-3.247626;-64.93879;;;0;0;0;0;0;0;21.00531;41.625;0;0;0;0;0;
2018-02-09 18:43:25;19.03914;25;19;19;-2.108201;-2.113327;-2.921307;-56.92624;;;0;0;0;0;0;0;21.01067;41.625;0;0;0;0;0;
2018-02-09 18:44:25;18.95479;25;19;19;-1.856462;-1.865436;-2.604862;-50.37801;;;0;0;0;0;0;0;21.01135;41.84375;0;0;0;0;0;
2018-02-09 18:45:25;18.99785;25;19;19;-1.979604;-1.979406;-2.770816;-53.68619;;;0;0;0;0;0;0;21.01067;41.875;0;0;0;0;0;
2018-02-09 18:46:25;19.00703;25;19;19;-2.209342;-2.20768;-3.06618;-59.11257;;;0;0;0;0;0;0;21.01355;42;0;0;0;0;0;
2018-02-09 18:47:25;19.02464;25;19;19;-2.372204;-2.371916;-3.269437;-62.59699;;;0;0;0;0;0;0;21.00668;42.15625;0;0;0;0;0;
2018-02-09 18:48:25;19.02742;25;19;19;-2.290084;-2.25504;-3.128708;-60.9206;;;0;0;0;0;0;0;21.00504;42.25;0;0;0;0;0;
2018-02-09 18:49:25;18.90617;25;19;19;-1.829922;-1.810086;-2.546519;-49.5082;;;0;0;0;0;0;0;21.00819;42.53125;0;0;0;0;0;
2018-02-09 18:50:25;18.99596;25;19;19;-2.095035;-2.083674;-2.895398;-56.47329;;;0;0;0;0;0;0;21.01575;42.53125;0;0;0;0;0;
2018-02-09 18:51:25;19.04457;25;19;19;-2.399091;-2.3647;-3.257618;-63.19746;;;0;0;0;0;0;0;21.00888;42.34375;0;0;0;0;0;
2018-02-09 18:52:25;19.04762;25;19;19;-2.458276;-2.45797;-3.30676;-64.35044;;;0;0;0;0;0;0;21.00311;42.59375;0;0;0;0;0;
2018-02-09 18:53:25;19.02806;25;19;19;-2.378512;-2.380741;-3.284437;-62.73445;;;0;0;0;0;0;0;21.00572;42.71875;0;0;0;0;0;
